City,Country,Latitude,Longitude
Aachen,Germany,50.7753455,6.0838868
Aberdeen,United Kingdom,57.1498891,-2.0937528
Aglandjia,Cyprus,35.1498034,33.394086
Aix-Marseille,France,43.5911679,5.3102505
Alcalá de Henares,Spain,40.4843898,-3.3688023
Alicante,Spain,38.3457685,-0.4909444
Amsterdam,Netherlands,52.3675734,4.9041389
Ankara,Turkey,39.9333635,32.8597419
Antwerp,Belgium,51.2199302,4.4149903
As,Norway,59.6864303,10.7930108
Aston,United Kingdom,52.5011863,-1.8782583
Athens,Greece,37.9838096,23.7275388
Aveiro,Portugal,40.6405055,-8.6537539
Ayrshire,United Kingdom,55.3649698,-4.6679959
Baku,Azerbaijan,40.4092617,49.8670924
Bangor,United Kingdom,53.22739,-4.129263
Barcelona,Spain,41.3873974,2.168568
Basel,Switzerland,47.5595986,7.5885761
Bath,United Kingdom,51.3781018,-2.3596827
Bayreuth,Germany,49.9456399,11.5713346
Belfast,United Kingdom,54.597285,-5.93012
Belgrade,Serbia,44.8125449,20.46123
Bergen,Norway,60.3912628,5.3220544
Berlin,Germany,52.5200066,13.404954
Bern,Switzerland,46.9479739,7.4474468
Bilbao,Spain,43.2633799,-2.9348121
Birmingham,United Kingdom,52.4822694,-1.8900078
Bologna,Italy,44.494887,11.3426163
Bordeaux,France,44.8416106,-0.5810938
Bournemouth,United Kingdom,50.7220101,-1.8667169
Bradford,United Kingdom,53.7937996,-1.7563583
Braga,Portugal,41.5454486,-8.426507
Bratislava,Slovakia,48.1477745,17.1071553
Bremen,Germany,53.0792962,8.8016937
Brest,France,48.3899275,-4.4855959
Brighton,United Kingdom,50.8229402,-0.1362672
Bristol,United Kingdom,51.454513,-2.58791
Brno,Czech Republic,49.1950602,16.6068371
Brussels,Belgium,50.8260453,4.3802052
Bruxelles,Belgium,50.8477029,4.3572001
Bucharest,Romania,44.4267674,26.1025384
Budapest,Hungary,47.497912,19.040235
Cambridge,United Kingdom,52.1950788,0.1312729
Cardiff,United Kingdom,51.483707,-3.1680962
Cluj,Romania,46.7712101,23.6236353
Coimbra,Portugal,40.2033145,-8.4102573
Cologne,Germany,50.937531,6.9602786
Cork,Ireland,51.8985143,-8.4756035
Coventry,United Kingdom,52.4128163,-1.5089521
Crete,Greece,35.240117,24.8092691
Darmstadt,Germany,49.8728253,8.6511929
Debrecen,Hungary,47.5288879,21.6254485
Delft,Netherlands,52.0115769,4.3570677
Denmark,Denmark,56.26392,9.501785
Dresden,Germany,51.0504088,13.7372621
Dublin,Ireland,53.3498053,-6.2603097
Dundee,United Kingdom,56.462018,-2.970721
Durham,United Kingdom,54.77525,-1.584852
Dusseldorf,Germany,51.2230411,6.7824545
East Anglia (UEA),United Kingdom,52.6220523,1.2410838
Edinburgh,United Kingdom,55.953252,-3.188267
Eindhoven,Netherlands,51.4231423,5.4622897
Espoo,Finland,60.2054911,24.6559001
Essen,Germany,51.4575573,7.0224632
Essex,United Kingdom,51.7668369,0.4757762
Exeter,United Kingdom,50.7260367,-3.5274889
Florence,Italy,43.7699685,11.2576706
Frankfurt,Germany,50.1109221,8.6821267
Freiburg,Germany,47.9990077,7.8421043
Fribourg,Switzerland,46.8064773,7.1619719
Geneva,Switzerland,46.2043907,6.1431577
Genoa,Italy,44.4071448,8.9347381
Ghent,Belgium,51.0499922,3.7303853
Giessen,Germany,50.5840512,8.6784031
Glasgow,United Kingdom,55.8616704,-4.2583345
Gothenburg,Sweden,57.70887,11.97456
Granada,Spain,37.1824607,-3.6011676
Graz,Austria,47.0678961,15.4417305
Greenwich,United Kingdom,51.4933675,0.0098214
Grenoble,France,45.188529,5.724524
Groningen,Netherlands,53.2193835,6.5665018
Guildford,United Kingdom,51.23622,-0.570409
Halle,Germany,51.4953567,11.9662371
Hamburg,Germany,53.5488282,9.9871703
Hannover,Germany,52.3758916,9.7320104
Hasselt,Belgium,50.9304628,5.3324297
Heidelberg,Germany,49.3987524,8.6724335
Helsinki,Finland,60.1698557,24.938379
Heriot-Watt,United Kingdom,55.9095155,-3.320646
Hohenheim,Germany,48.715394,9.2170429
Holloway,United Kingdom,51.557017,-0.115522
Huddersfield,United Kingdom,53.645792,-1.785035
Hull,United Kingdom,53.7674909,-0.3273025
Istanbul,Turkey,41.0082376,28.9783589
Jena,Germany,50.927054,11.5892372
Jyväskylä,Finland,62.2426034,25.7472567
Kaunas,Lithuania,54.8985207,23.9035965
Kent,United Kingdom,51.0928319,0.8392471
Kiel,Germany,54.3232927,10.1227652
Kiev,Ukraine,50.4503596,30.5245025
Konstanz,Germany,47.6779808,9.1736741
Krakow,Poland,50.0646501,19.9449799
Latvia,Latvia,56.879635,24.603189
Lausanne,Switzerland,46.5196535,6.6322734
Laussane,Switzerland,46.5196535,6.6322734
Leeds,United Kingdom,53.8007554,-1.5490774
Leicester,United Kingdom,52.6368778,-1.1397592
Leiden,Netherlands,52.1636188,4.4802444
Leipzig,Germany,51.3396955,12.3730747
Lille,France,50.624378,3.0678588
Limerick,Ireland,52.663839,-8.6267299
Linköping,Sweden,58.410807,15.6213727
Linz,Austria,48.3069096,14.285918
Lisboa,Portugal,38.7222524,-9.1393366
Lisbon,Portugal,38.7222524,-9.1393366
Liverpool,United Kingdom,53.4083714,-2.9915726
Liège,Belgium,50.6402286,5.5689372
Ljubljana,Slovenia,46.0569465,14.5057515
Lochborough,United Kingdom,52.772099,-1.206166
London,United Kingdom,51.5072178,-0.1275862
Lorraine,France,48.8744233,6.2080932
Loughborough,United Kingdom,52.772099,-1.206166
Louvain,Belgium,50.8791453,4.7024648
