name,country,city,public
ETH Zurich - Swiss Federal Institute of Technology,Switzerland,Zurich,yes
Imperial College London,United Kingdom,London,yes
University of Oxford,United Kingdom,Oxford,yes
University of Cambridge,United Kingdom,Cambridge,yes
UCL,United Kingdom,London,yes
The University of Edinburgh,United Kingdom,Edinburgh,yes
The University of Manchester,United Kingdom,Manchester,yes
King's College London,United Kingdom,London,yes
Université PSL,France,Paris,
EPFL,Switzerland,Laussane,yes
Technical University of Munich,Germany,Munich,yes
The London School of Economics and Political Science (LSE),United Kingdom,London,yes
Lund University,Sweden,Lund,yes
University of Bristol,United Kingdom,Bristol,yes
Delft University of Technology,Netherlands,Delft,yes
University of Glasgow,United Kingdom,Glasgow,yes
University of Amsterdam,Netherlands,Amsterdam,yes
Ruprecht-Karls-Universität Heidelberg,Germany,Heidelberg,yes
University of Birmingham,United Kingdom,Birmingham,yes
University of Leeds,United Kingdom,Leeds,yes
Ludwig-Maximilians-Universität München,Germany,Munich,yes
The University of Warwick,United Kingdom,Warwick,yes
Institut Polytechnique de Paris,France,Paris,yes
University of Nottingham,United Kingdom,Nottingham,yes
Uppsala University,Sweden,Uppsala,yes
Trinity College Dublin, The University of Dublin,Ireland,yes
KTH Royal Institute of Technology ,Sweden,Stockholm,yes
KU Leuven,Belgium,Leuven,yes
The University of Sheffield,United Kingdom,Sheffield,yes
Université Paris-Saclay,France,Paris,yes
Sorbonne University,France,Paris,yes
Durham University,United Kingdom,Durham,yes
University of Copenhagen,Denmark,Copenhagen,yes
University of Southampton,United Kingdom,Southampton,yes
Newcastle University,United Kingdom,Newcastle,yes
University of Zurich,Switzerland,Zurich,yes
University of St Andrews,United Kingdom,St Andrews,yes
Politecnico di Milano,Italy,Milan,yes
Queen Mary University of London,United Kingdom,London,yes
Utrecht University,Netherlands,Utrecht,yes
Aalto University,Finland,Espoo,yes
University of Vienna,Austria,Vienna,yes
Freie Universitaet Berlin,Germany,Berlin,yes
Stockholm University,Sweden,Stockholm,yes
Technische Universität Berlin (TU Berlin),Germany,Berlin,yes
University of Helsinki,Finland,Helsinki,yes
Ghent University,Belgium,Ghent,yes
Alma Mater Studiorum - University of Bologna,Italy,Bologna,yes
The University of Exeter,United Kingdom,Exeter,yes
University of Liverpool,United Kingdom,Liverpool,yes
University College Dublin,Ireland,Dublin,yes
Leiden University,Netherlands,Leiden,yes
Aarhus University,Denmark,Aarhus,yes
Universitat de Barcelona,Spain,Barcelona,yes
University of Geneva,Switzerland,Geneva,yes
University of Groningen,Netherlands,Groningen,yes
Wageningen University & Research,Netherlands,Wagenigen,yes
RWTH Aachen University,Germany,Aachen,yes
"KIT, Karlsruhe Institute of Technology",Germany,Karlsruhe,yes
Cardiff University,United Kingdom,Cardiff,yes
Complutense University of Madrid,Spain,Madrid,yes
University of Bath,United Kingdom,Bath,yes
Lancaster University,United Kingdom,Lancaster,yes
University of Oslo,Norway,Oslo,yes
Erasmus University Rotterdam ,Netherlands,Rotterdam,yes
Sapienza University of Rome,Italy,Rome,yes
Universitat Autònoma de Barcelona,Spain,Barcelona,yes
Humboldt-Universität zu Berlin,Germany,Berlin,yes
Technical University of Denmark,Denmark,Denmark,yes
University of York,United Kingdom,York,yes
University of Gothenburg,Sweden,Gothenburg,yes
Universidad Autónoma de Madrid,Spain,Madrid,yes
Queen's University Belfast,United Kingdom,Belfast,yes
University of Reading,United Kingdom,Reading,yes
Université catholique de Louvain (UCLouvain),Belgium,Louvain,
Albert-Ludwigs-Universitaet Freiburg,Germany,Freiburg,yes
Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,Bonn,yes
Chalmers University of Technology,Sweden,Gothenburg,yes
Charles University,Czech Republic,Prague,yes
University of Basel,Switzerland,Basel,yes
Universität Hamburg,Germany,Hamburg,yes
University of Göttingen,Germany,Göttingen,yes
Vrije Universiteit Amsterdam,Netherlands,Amsterdam,yes
Eberhard Karls Universität Tübingen,Germany,Tübingen,yes
Loughborough University,United Kingdom,Loughborough,yes
University of Bern,Switzerland,Bern,yes
Università di Padova,Italy,Padova,yes
Eindhoven University of Technology,Netherlands,Eindhoven,yes
Maastricht University ,Netherlands,Maastricht,yes
University of Aberdeen,United Kingdom,Aberdeen,yes
University of Navarra,Spain,Pamplona,
University of Lisbon ,Portugal,Lisbon,yes
Technische Universität Dresden,Germany,Dresden,yes
Universite libre de Bruxelles,Belgium,Bruxelles,yes
Norwegian University of Science And Technology,Norway,Trondheim,yes
University of Warsaw ,Poland,Warsaw,yes
Swansea University,United Kingdom,Swansea,yes
Goethe-University Frankfurt am Main,Germany,Frankfurt,yes
University of Galway,Ireland,Galway,yes
University of Cologne,Germany,Cologne,yes
University of Lausanne,Switzerland,Lausanne,yes
Universitat Pompeu Fabra (Barcelona),Spain,Barcelona,yes
Politecnico di Torino,Italy,Torino,yes
Université Paris 1 Panthéon-Sorbonne ,France,Paris,yes
University College Cork,Ireland,Cork,yes
University of Bergen,Norway,Bergen,yes
Linköping University,Sweden,Linköping,yes
University of Sussex,United Kingdom,Sussex,yes
Technische Universität Wien,Austria,Wien,yes
University of Antwerp,Belgium,Antwerp,yes
University of Porto,Portugal,Porto,yes
University of Strathclyde,United Kingdom,Strathclyde,yes
University of Milan,Italy,Milan,yes
Middle East Technical University,Turkey,Ankara,yes
Vrije Universiteit Brussel (VUB),Belgium,Brussels,yes
Westfälische Wilhelms-Universität Münster ,Germany,Münster,yes
Universidad Politécnica de Madrid (UPM),Spain,Madrid,yes
University of Twente,Netherlands,Twente,yes
Universidad Carlos III de Madrid (UC3M),Spain,Madrid,yes
Jagiellonian University,Poland,Krakow,yes
Radboud University ,Netherlands,Nijmegen,yes
